year,area,latitude,longitude,outbreak,file_name,study
1918,south of 50th parallel,47.6038321,-122.330062,1,Elliot 1960.pdf,5
1919,south of 50th parallel,47.6038321,-122.330062,1,Elliot 1960.pdf,5
1920,south of 50th parallel,47.6038321,-122.330062,1,Elliot 1960.pdf,5
1921,south of 50th parallel,47.6038321,-122.330062,0,Elliot 1960.pdf,5
1972,southwest,36.1672559,-115.148516,0,Elliot 1960.pdf,5
1973,southwest,36.1672559,-115.148516,1,Elliot 1960.pdf,5
1974,southwest,36.1672559,-115.148516,0,Elliot 1960.pdf,5
1985,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1986,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1987,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1988,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1989,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1990,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1991,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1992,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1993,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1994,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1995,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1996,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1997,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1998,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1999,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
2000,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
2001,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
2002,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
2003,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
2004,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
2005,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
2006,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
2007,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
2008,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
2009,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
2010,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
